tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop
월세,800,1억,151,1/10,남향,37.57701,126.896961,316
월세,340,"4,000",78,1/3,서향,37.577,126.896647,316
매매,0,"12억 5,000",42,1/22,북향,37.544876,126.947963,4339
월세,290,"3,000",154,2/4,북향,37.577464,126.893779,316
월세,300,"7,000",71,B1/37,남향,37.540049,126.945477,1900
월세,250,"5,000",27,B1/15,동향,37.554092,126.936768,1904
월세,220,"2,000",33,1/3,남서향,37.559363,126.907416,1158
월세,130,"3,000",42,1/2,,37.546083,126.93954,1941
월세,400,1억,63,1/3,남서향,37.553523,126.946294,2542
월세,600,1억,82,1/3,남서향,37.552979,126.947721,2526
매매,0,8억,24,B1/2,북서향,37.545622,126.948784,2554
월세,450,1억,85,1/7,남향,37.555422,126.91509,1359
월세,350,"5,000",46,1/5,남서향,37.542316,126.944642,2969
월세,100,"3,000",31,1/2,남서향,37.550942,126.913787,3589
월세,190,"3,500",50,1/5,남동향,37.561109,126.920106,1660
월세,80,"2,000",53,B1/4,남향,37.538647,126.94762,2045
월세,400,"3,000",112,2/5,남향,37.54847,126.917872,8571
월세,170,"2,500",34,1/4,남향,37.545604,126.922459,1030
월세,150,"2,000",89,B1/3,북향,37.546049,126.916557,6503
월세,250,"2,500",58,1/2,북서향,37.561338,126.922433,3352
월세,290,"2,000",49,4/5,남향,37.556357,126.904631,943
월세,350,"5,000",71,B1/2,북서향,37.556338,126.906404,811
매매,0,2억,28,B1/20,남서향,37.548792,126.910509,3589
월세,120,"1,500",85,B1/4,서향,37.576066,126.895618,5185
월세,220,"3,000",58,3/4,남동향,37.565734,126.922985,662
월세,65,500,26,2/3,남동향,37.580275,126.880705,400
월세,100,"1,000",30,1/3,남서향,37.55231,126.90485,987
월세,250,"3,000",76,1/4,남서향,37.558035,126.906021,1158
월세,230,"3,000",59,1/5,남서향,37.553339,126.907435,802
월세,500,"1억 3,000",394,B1/15,북향,37.539047,126.944284,1509
월세,490,"5,800",42,B1/3,남서향,37.56162,126.925672,1059
월세,210,"3,000",34,1/3,북서향,37.561856,126.926786,1382
월세,84,"2,000",55,3/5,서향,37.55667,126.947946,481
매매,0,7억,143,3/3,남향,37.543983,126.931102,1765
월세,170,"3,000",34,1/2,,37.54321,126.93557,4431
매매,0,"8억 9,000",48,1/3,동향,37.555597,126.953657,1487
월세,350,"5,000",108,1/6,북동향,37.544892,126.934407,4283
월세,90,"1,000",20,1/1,남동향,37.539948,126.944067,1756
월세,200,"3,000",96,2/5,북향,37.556059,126.899354,1740
월세,200,"4,000",49,1/4,남서향,37.542186,126.940634,1849
월세,300,"3,500",64,1/5,북향,37.551529,126.915542,4502
월세,320,"5,000",56,3/4,남서향,37.546377,126.944312,1734
월세,160,"3,000",19,2/5,남동향,37.555371,126.930322,834
월세,400,"5,000",119,1/3,북동향,37.556737,126.929225,2619
월세,"2,800",3억,314,1/19,북서향,37.542633,126.950636,2645
월세,100,"2,500",76,B1/4,동향,37.576779,126.894274,316
월세,360,"5,000",142,2/5,남향,37.54903,126.916466,6583
월세,220,"5,000",154,B2/7,동향,37.547838,126.930228,2021
월세,220,"3,000",75,2/5,동향,37.557074,126.921562,1647
월세,190,"2,500",53,1/5,,37.541084,126.949423,4364
월세,120,"1,000",34,1/4,남서향,37.567053,126.910415,1037
월세,"3,000",4억,892,1/1,북서향,37.550576,126.936697,6313
월세,180,"3,000",71,B1/10,동향,37.547439,126.942512,1904
월세,380,"7,000",23,2/2,,37.546359,126.943495,1851
월세,350,"5,000",36,1/17,남향,37.542975,126.94786,2856
매매,0,"4억 5,000",28,B2/1,,37.555561,126.959271,3643
월세,110,"2,000",13,1/5,서향,37.540112,126.950353,2736
매매,0,"1억 8,000",29,2/2,북서향,37.54638,126.958037,2686
월세,250,"3,000",148,B1/10,남서향,37.549183,126.939561,2111
매매,0,12억,44,2/29,북서향,37.545114,126.949567,2619
월세,150,"2,000",44,2/20,북향,37.556303,126.943269,2070
매매,0,"5억 8,000",60,2/6,남동향,37.553488,126.924304,6080
월세,190,"3,000",33,1/5,남동향,37.553572,126.903329,872
월세,300,"5,000",78,1/3,서향,37.55264,126.922041,943
월세,380,"5,000",30,1/4,남향,37.552467,126.922729,943
월세,120,"2,000",26,1/4,북서향,37.562053,126.921427,3352
월세,250,"3,000",87,2/3,남향,37.555032,126.906061,870
월세,200,"4,000",29,1/15,남동향,37.55065,126.914878,3589
월세,400,"2,000",49,1/6,북서향,37.559455,126.915194,943
월세,160,"3,000",33,1/6,남향,37.554347,126.933807,2032
월세,160,"2,500",36,1/4,남동향,37.545699,126.922506,1030
월세,100,"2,000",26,1/2,동향,37.54409,126.939664,2386
월세,330,"7,000",156,1/2,남동향,37.542348,126.941872,1907
월세,130,"3,000",16,1/7,북동향,37.562293,126.915131,1090
월세,400,"8,000",38,1/21,남동향,37.547471,126.95306,2466
월세,110,"2,000",29,1/4,서향,37.555748,126.947372,2811
월세,150,"5,000",40,2/5,남서향,37.547008,126.951963,1867
월세,270,"5,000",29,B1/40,동향,37.544935,126.9506,2685
월세,"4,000",6억,520,1/4,서향,37.554924,126.923711,5192
매매,0,10억,125,2/9,남서향,37.554769,126.955698,2032
월세,340,"5,000",84,1/3,서향,37.566555,126.917098,1611
월세,190,"2,000",33,1/4,동향,37.558995,126.905164,1035
월세,450,"5,000",99,1/8,남서향,37.559928,126.907011,1763
월세,350,"4,000",80,2/3,동향,37.562925,126.926168,1382
월세,250,"4,000",84,2/4,남서향,37.556745,126.922361,847
월세,250,"5,000",91,2/3,북향,37.541332,126.944862,1773
월세,500,"6,000",132,3/4,동향,37.540993,126.949301,4364
월세,60,500,39,B1/5,남동향,37.536834,126.944531,3380
월세,75,"1,500",24,2/6,남동향,37.554167,126.929962,834
월세,130,"2,000",110,2/4,남동향,37.544349,126.936349,4431
월세,350,"5,000",274,2/2,남동향,37.544434,126.936204,4431
월세,270,"5,000",71,2/5,남향,37.556248,126.952198,1136
월세,300,"5,000",38,1/3,동향,37.54909,126.922828,940
월세,450,"6,000",150,1/1,남향,37.551092,126.934428,2738
월세,260,"2,500",92,1/2,남서향,37.546788,126.921964,940
월세,170,"3,000",30,1/2,북향,37.539421,126.953869,6614
매매,0,"8억 9,000",48,1/3,동향,37.552749,126.952863,2069
월세,363,"5,000",369,B1/10,남향,37.544028,126.930422,1772
월세,400,"4,000",59,1/8,남향,37.543022,126.951193,2645
월세,140,"2,000",47,2/3,남동향,37.577737,126.895435,316
월세,100,"2,000",43,B1/2,남동향,37.546515,126.960203,1843
월세,250,"3,000",31,1/5,남향,37.543398,126.944178,2513
월세,150,"3,000",149,B1/6,,37.55018,126.955506,3797
월세,120,"3,000",26,1/3,동향,37.556289,126.927343,6495
월세,500,1억,150,4/4,동향,37.550216,126.919452,9743
월세,600,"8,000",109,1/5,남향,37.553452,126.925292,2284
월세,290,"5,000",49,B1/37,남서향,37.549999,126.912199,3589
월세,200,"3,000",30,3/4,남향,37.562183,126.924832,1059
월세,380,"6,000",80,1/4,남향,37.552297,126.920209,917
