tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop
월세,220,"3,000",49,1/3,서향,37.566555,126.917098,892
월세,160,"2,000",56,4/4,남향,37.562873,126.92542,1338
월세,100,"1,000",25,B1/1,북동향,37.564777,126.923147,910
월세,160,"2,500",28,3/3,남향,37.562103,126.926197,1140
월세,190,"3,500",46,1/5,남향,37.561109,126.920106,919
월세,120,"2,000",26,1/4,북서향,37.562053,126.921427,1052
월세,180,"3,000",33,3/4,서향,37.562183,126.924832,1203
월세,180,"3,000",29,2/4,서향,37.562183,126.924832,1203
월세,90,"1,000",23,B1/4,남향,37.56554,126.923336,907
월세,350,"5,000",98,2/4,남향,37.56554,126.923336,907
월세,200,"3,000",57,3/4,동향,37.565734,126.922985,847
월세,300,"4,000",57,1/4,동향,37.565734,126.922985,847
매매,,"4억 3,000",23,1/4,남서향,37.562091,126.922368,1683
월세,80,"1,000",82,B1/3,서향,37.566555,126.917098,892
월세,150,"3,000",40,B1/5,동향,37.561615,126.922195,1155
월세,150,"3,000",40,B1/5,동향,37.561615,126.922195,1155
월세,210,"3,000",34,1/3,북서향,37.561856,126.926786,1019
월세,230,"2,700",49,3/3,북서향,37.56162,126.925672,1176
월세,200,"3,000",49,3/3,남향,37.5617,126.926563,1859
월세,220,"3,000",59,1/3,서향,37.566555,126.917098,892
월세,120,"2,000",26,1/3,서향,37.566555,126.917098,892
월세,200,"3,000",84,2/3,서향,37.566555,126.917098,892
월세,200,"3,000",34,3/3,서향,37.566555,126.917098,892
월세,380,"4,500",49,B1/3,남서향,37.56162,126.925672,1176
월세,490,"5,800",42,B1/3,남서향,37.56162,126.925672,1176
월세,230,"2,700",49,3/3,남서향,37.56162,126.925672,1176
매매,,"4억 3,000",23,1/4,남서향,37.562091,126.922368,1683
월세,110,"2,000",23,1/4,남서향,37.562091,126.922368,1683
월세,220,"3,000",60,1/3,남서향,37.566555,126.917098,892
월세,240,"3,100",52,2/3,남서향,37.56162,126.925672,1176
월세,300,"3,600",36,1/3,남서향,37.56162,126.925672,1176
월세,200,"3,000",51,3/4,북서향,37.565734,126.922985,847
월세,200,"3,000",50,2/4,북서향,37.565734,126.922985,847
월세,300,"4,000",50,1/4,북서향,37.565734,126.922985,847
월세,280,"3,000",50,B1/4,북서향,37.565734,126.922985,847
월세,240,"3,000",37,B1/3,북서향,37.561856,126.926786,1019
월세,150,"2,000",21,4/4,남향,37.561169,126.926094,1465
월세,220,"3,000",45,1/3,동향,37.566555,126.917098,892
월세,190,"1,500",37,B1/3,북향,37.560946,126.924556,1600
월세,140,"1,500",34,2/3,남향,37.561976,126.926352,1378
월세,350,"3,000",61,B1/3,남서향,37.562278,126.925378,1153
월세,170,"4,000",50,2/2,남동향,37.559379,126.918473,1225
월세,350,"3,000",61,B1/3,남향,37.562278,126.925378,1153
월세,120,"2,000",20,1/5,,37.563944,126.92455,943
월세,190,"2,000",57,2/4,북서향,37.562115,126.925721,1159
